"('Oferta biura nieruchomości',)","('4 pokoje na Śródmieściu ul. Jana Pawła II',)","('Warszawa, Śródmieście',)","('1900000',)","('13571',)","('140',)","('4',)","('wtórny',)","('apartamentowiec',)","('> 10',)","('25',)","('Brak danych',)","('2001',)",pełna własność
"('Oferta biura nieruchomości',)","('3 pokoje, Bielany ul Sokratesa',)","('Warszawa, Bielany',)","('874000',)","('11500',)","('76',)","('3',)","('wtórny',)","('apartamentowiec',)","('1',)","('4',)","('Brak danych',)","('2010',)",pełna własność
"('Oferta biura nieruchomości',)","('3 loggie! panoramiczne okna! odbierz klucze teraz',)","('Warszawa, Mokotów, Biznesowy Mokotów',)","('903684',)","('9015',)","('100,24',)","('4',)","('pierwotny',)","('blok',)","('1',)","('7',)","('Brak danych',)","('2019',)",Brak danych
"('Oferta biura nieruchomości',)","('2 osobne pokoje po remoncie, idealne pod wynajem',)","('Warszawa, Bemowo, Borowej Góry',)","('359000',)","('11967',)","('30',)","('2',)","('wtórny',)","('blok',)","('7',)","('10',)","('Brak danych',)","('1983',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie 60 m2 Wilanów garaż balkon',)","('Warszawa, Wilanów, ul. Adama Branickiego',)","('660000',)","('11000',)","('60',)","('2',)","('wtórny',)","('Brak danych',)","('2',)","('4',)","('Brak danych',)","('Brak danych',)",pełna własność
"('Oferta prywatna',)","('Cybernetyki - 4 pok., 2 balkony - cesja na STYCZEŃ',)","('Warszawa, Mokotów, ul. Cybernetyki',)","('730000',)","('10118',)","('72,15',)","('4',)","('wtórny',)","('apartamentowiec',)","('7',)","('7',)","('cegła',)","('2020',)",pełna własność
"('Oferta dewelopera',)","('Sierakowskiego II 9',)","('Warszawa, Praga-Północ, ul. Józefa Sierakowskiego 4A',)","('Zapytajocenę',)","('',)","('84,24',)","('3',)","('pierwotny',)","('blok',)","('3',)","('5',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Sierakowskiego II 26',)","('Warszawa, Praga-Północ, ul. Józefa Sierakowskiego 4A',)","('Zapytajocenę',)","('',)","('81,48',)","('3',)","('pierwotny',)","('blok',)","('5',)","('5',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Sierakowskiego II 63',)","('Warszawa, Praga-Północ, ul. Józefa Sierakowskiego 4A',)","('Zapytajocenę',)","('',)","('81,58',)","('2',)","('pierwotny',)","('blok',)","('1',)","('5',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Sierakowskiego II 74',)","('Warszawa, Praga-Północ, ul. Józefa Sierakowskiego 4A',)","('Zapytajocenę',)","('',)","('61,99',)","('2',)","('pierwotny',)","('blok',)","('4',)","('5',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta biura nieruchomości',)","('Rondo Onz!!! Niesamowity Widok!!! 2-pokoje!!!',)","('Warszawa, Śródmieście',)","('435000',)","('10875',)","('40',)","('2',)","('wtórny',)","('blok',)","('> 10',)","('15',)","('żelbet',)","('1970',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('Powiśle! Niesamowity i Wyjątkowy Apartament !!!',)","('Warszawa, Śródmieście, Powiśle',)","('1375000',)","('25000',)","('55',)","('3',)","('wtórny',)","('apartamentowiec',)","('2',)","('6',)","('cegła',)","('2018',)",pełna własność
"('Oferta biura nieruchomości',)","('Aleja Solidarności !!! 2 pokoje !!! Rozkładowe !!!',)","('Warszawa, Śródmieście',)","('530000',)","('12045',)","('44',)","('2',)","('wtórny',)","('kamienica',)","('3',)","('3',)","('cegła',)","('1950',)",pełna własność
"('Oferta biura nieruchomości',)","('2 Pokoje !!! Rondo Onz !!! Centrum !!! Metro!!',)","('Warszawa, Śródmieście',)","('445000',)","('11125',)","('40',)","('2',)","('wtórny',)","('blok',)","('10',)","('15',)","('Brak danych',)","('1972',)",spółdzielcze wł. z KW
"('Oferta biura nieruchomości',)","('Rarytas !! Platinium Tower !! Wieża B !! Widok !!',)","('Warszawa, Śródmieście, Grzybowska',)","('1850000',)","('19892',)","('93',)","('4',)","('wtórny',)","('apartamentowiec',)","('> 10',)","('22',)","('cegła',)","('2009',)",Brak danych
"('Oferta dewelopera',)","('Sierakowskiego 4 258',)","('Warszawa, Praga-Północ, ul. Józefa Sierakowskiego 4',)","('Zapytajocenę',)","('',)","('38,78',)","('1',)","('pierwotny',)","('blok',)","('4',)","('Brak danych',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Sierakowskiego 4 264',)","('Warszawa, Praga-Północ, ul. Józefa Sierakowskiego 4',)","('Zapytajocenę',)","('',)","('58,90',)","('2',)","('pierwotny',)","('blok',)","('4',)","('Brak danych',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Port 23',)","('Warszawa, Praga-Północ, ul. Stefana Okrzei 2',)","('Zapytajocenę',)","('',)","('68,64',)","('3',)","('pierwotny',)","('blok',)","('1',)","('7',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Port 59',)","('Warszawa, Praga-Północ, ul. Stefana Okrzei 2',)","('Zapytajocenę',)","('',)","('37,42',)","('1',)","('pierwotny',)","('blok',)","('7',)","('7',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta prywatna',)","('BEZPOŚREDNIO 3 pokoje na Starych Bielanach',)","('Warszawa, Bielany, ul. Antoniego Magiera',)","('519990',)","('10993',)","('47,30',)","('3',)","('wtórny',)","('blok',)","('parter',)","('4',)","('inne',)","('1960',)",pełna własność
"('Oferta dewelopera',)","('Port Praski II 55',)","('Warszawa, Praga-Północ, ul. Stefana Okrzei 6',)","('Zapytajocenę',)","('',)","('119,38',)","('4',)","('pierwotny',)","('apartamentowiec',)","('7',)","('7',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Port Praski II 62',)","('Warszawa, Praga-Północ, ul. Stefana Okrzei 6',)","('Zapytajocenę',)","('',)","('84,39',)","('3',)","('pierwotny',)","('apartamentowiec',)","('2',)","('7',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta prywatna',)","('Nowy Apartament Gotowy do Odbioru Taborowa 26',)","('Warszawa, Ursynów',)","('672000',)","('8660',)","('77,60',)","('3',)","('pierwotny',)","('apartamentowiec',)","('3',)","('5',)","('silikat',)","('2019',)",pełna własność
"('Oferta prywatna',)","('Metro Stokłosy / Ciche / Balkon',)","('Warszawa, Ursynów',)","('576000',)","('9143',)","('63',)","('4',)","('wtórny',)","('blok',)","('3',)","('4',)","('inne',)","('1980',)",spółdzielcze wł. z KW
"('Oferta dewelopera',)","('Apartament z ogródkiem w Warszawie',)","('Warszawa, Włochy, ul. Budki Szczęśliwickie',)","('790017',)","('7100',)","('111,27',)","('5',)","('pierwotny',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Apartament z ogródkiem w Warszawie',)","('Warszawa, Włochy, ul. Budki Szczęśliwickie',)","('822480',)","('6900',)","('119,20',)","('5',)","('pierwotny',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Apartament z ogródkiem w Warszawie',)","('Warszawa, Włochy, ul. Budki Szczęśliwickie',)","('863121',)","('6900',)","('125,09',)","('5',)","('pierwotny',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Apartament z ogródkiem w Warszawie',)","('Warszawa, Włochy, ul. Budki Szczęśliwickie',)","('800400',)","('6900',)","('116',)","('5',)","('pierwotny',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta dewelopera',)","('Apartament z ogródkiem w Warszawie',)","('Warszawa, Włochy, ul. Budki Szczęśliwickie',)","('854485',)","('7100',)","('120,35',)","('5',)","('pierwotny',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta prywatna',)","('3 pokojowe komfortowe mieszkanie w Soho Factory!',)","('Warszawa, Praga-Południe',)","('785400',)","('11900',)","('66',)","('3',)","('wtórny',)","('blok',)","('1',)","('5',)","('cegła',)","('2014',)",pełna własność
"('Oferta prywatna',)","('Kabaty 2 oddzielne pokoje 55,2 nad Metrem sprzedam',)","('Warszawa, Ursynów, Kabaty, ul. Wąwozowa 18',)","('670000',)","('12120',)","('55,28',)","('2',)","('wtórny',)","('blok',)","('6',)","('8',)","('cegła',)","('2000',)",spółdzielcze wł. z KW
"('Oferta biura nieruchomości',)","('Przy Dobrcu Centralnym',)","('Warszawa, Śródmieście, Twarda',)","('1140000',)","('13571',)","('84',)","('4',)","('wtórny',)","('Brak danych',)","('6',)","('8',)","('Brak danych',)","('1993',)",pełna własność
"('Oferta biura nieruchomości',)","('Cztery pokoje z potencjałem! W dobrej cenie!',)","('Warszawa, Mokotów, Stegny, Pory',)","('664865',)","('8650',)","('76,86',)","('4',)","('pierwotny',)","('apartamentowiec',)","('1',)","('6',)","('Brak danych',)","('2020',)",pełna własność
"('Oferta prywatna',)","('LUX 3 pokoje 54 m.kw. METRO wejście przy budynku!',)","('Warszawa, Wola, ul. Górczewska 84/86',)","('639500',)","('11843',)","('54',)","('3',)","('wtórny',)","('blok',)","('3',)","('3',)","('inne',)","('1962',)",pełna własność
"('Oferta prywatna',)","('Kabaty 63m 3 pok BEZPOŚREDNIO IDEALNA lokalizacja',)","('Warszawa, Ursynów, Kabaty, ul. Kabacki dukt 16',)","('770000',)","('12222',)","('63',)","('3',)","('wtórny',)","('blok',)","('3',)","('6',)","('cegła',)","('2002',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie 2 pokoje 45 m2 garaż Obrzeżna',)","('Warszawa, Mokotów',)","('495000',)","('11000',)","('45',)","('2',)","('wtórny',)","('apartamentowiec',)","('1',)","('4',)","('Brak danych',)","('2010',)",Brak danych
"('Oferta biura nieruchomości',)","('4 min Sgh*1/2 pok*5 min Metro Pole Mokotowskie*',)","('Warszawa, Mokotów, Antoniego Józefa Madalińskiego',)","('485000',)","('12597',)","('38,50',)","('2',)","('wtórny',)","('kamienica',)","('5',)","('6',)","('cegła',)","('1950',)",Brak danych
"('Oferta biura nieruchomości',)","('Hit!!! 2 Osobne Pokoje Na Powiślu! *Inwestycyjne*',)","('Warszawa, Śródmieście, Powiśle, Topiel',)","('570000',)","('15798',)","('36,08',)","('2',)","('wtórny',)","('blok',)","('2',)","('4',)","('cegła',)","('1936',)",Brak danych
"('Oferta biura nieruchomości',)","('Białołęka, ul.Aluzyjna 2 pok., po remoncie, balkon',)","('Warszawa, Białołęka, Aluzyjna',)","('329000',)","('7311',)","('45',)","('2',)","('wtórny',)","('Brak danych',)","('parter',)","('Brak danych',)","('cegła',)","('Brak danych',)",Brak danych
"('Oferta biura nieruchomości',)","('na pograniczu Mokotowa, oddanie po nowym roku!',)","('Warszawa, Ursynów',)","('510000',)","('8308',)","('61,39',)","('3',)","('pierwotny',)","('blok',)","('3',)","('3',)","('Brak danych',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('4 pokoje, 15 min Centrum, dwa garaże',)","('Warszawa, Praga-Południe, Grochowska',)","('440520',)","('8009',)","('55',)","('4',)","('wtórny',)","('blok',)","('3',)","('5',)","('cegła',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('Świetne mieszkanie dla pary, super komunikacja!',)","('Warszawa, Ursynów, ul. Kłobucka',)","('423203',)","('11595',)","('36,50',)","('2',)","('pierwotny',)","('apartamentowiec',)","('1',)","('10',)","('inne',)","('Brak danych',)",Brak danych
"('Oferta biura nieruchomości',)","('Mieszkanie w bardzo dobrze skomunikowanym punckie!',)","('Warszawa, Praga-Południe, ul. Wiatraczna',)","('636579',)","('8100',)","('78,59',)","('4',)","('pierwotny',)","('apartamentowiec',)","('4',)","('5',)","('inne',)","('2019',)",Brak danych
"('Oferta biura nieruchomości',)","('Świetny rozkład! TARAS + balkon!',)","('Warszawa, Bemowo, ul. gen. Tadeusza Pełczyńskiego',)","('883150',)","('8500',)","('103,90',)","('4',)","('pierwotny',)","('apartamentowiec',)","('5',)","('14',)","('inne',)","('Brak danych',)",pełna własność
"('Oferta prywatna',)","('Rynek Pierwotny - Oddanie Listopad 2019!!',)","('Kłobudzka 8, Warszawa, mazowieckie',)","('449000',)","('9285',)","('48,36',)","('2',)","('pierwotny',)","('blok',)","('2',)","('4',)","('pustak',)","('2019',)",Brak danych
"('Oferta biura nieruchomości',)","('3 pok. Sadyba, SUPER WIDOK, 0% prowizji',)","('Warszawa, Mokotów, ul. Bonifacego',)","('480000',)","('8466',)","('56,70',)","('3',)","('wtórny',)","('blok',)","('10',)","('10',)","('wielka płyta',)","('1969',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('Duże mieszkanie w zielonej okolicy z garażem',)","('Warszawa, Praga-Południe, Gocław, kard. Aleksandra Kakowskiego',)","('994000',)","('10102',)","('98,40',)","('3',)","('wtórny',)","('apartamentowiec',)","('2',)","('5',)","('cegła',)","('2000',)",spółdzielcze wł. z KW
"('Oferta prywatna',)","('Mieszkanie przy Metrze Targówek z widokiem na park',)","('Warszawa, Targówek, Targówek Mieszkaniowy',)","('607000',)","('8586',)","('70,70',)","('4',)","('wtórny',)","('blok',)","('9',)","('9',)","('wielka płyta',)","('1978',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('2 pokoje z balkonem 20 min do Metra Marymont',)","('Warszawa, Białołęka, Leona Berensona',)","('269000',)","('6035',)","('44,57',)","('2',)","('pierwotny',)","('Brak danych',)","('1',)","('2',)","('cegła',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('2 pokoje dla Inwestora - blisko S8',)","('Warszawa, Białołęka, Leona Berensona',)","('262640',)","('6950',)","('37,79',)","('2',)","('pierwotny',)","('Brak danych',)","('2',)","('2',)","('cegła',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('Żerań, blisko do stacji SKM, gotowe za rok!',)","('Warszawa, Białołęka, Żerań',)","('410969',)","('7136',)","('57,59',)","('3',)","('pierwotny',)","('blok',)","('3',)","('5',)","('Brak danych',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Okazja, Mokotów, Obrzeżna!',)","('Warszawa, Mokotów',)","('490000',)","('10000',)","('49',)","('2',)","('wtórny',)","('kamienica',)","('1',)","('2',)","('cegła',)","('1959',)",pełna własność
"('Oferta biura nieruchomości',)","('gotowe na marzec 2020r. przy stacji SKM!',)","('Warszawa, Wawer, Marysin Wawerski',)","('474552',)","('8450',)","('56,16',)","('3',)","('pierwotny',)","('blok',)","('5',)","('5',)","('Brak danych',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('ostatnie na marzec 2020r.,obok stacji SKM!',)","('Warszawa, Wawer, Marysin Wawerski',)","('402971',)","('8350',)","('48,26',)","('2',)","('pierwotny',)","('blok',)","('4',)","('5',)","('Brak danych',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie 53m2 - 2 pok Natolin ul. Stryjeńskich',)","('Warszawa, Ursynów, Natolin, Stryjeńskich',)","('548000',)","('10446',)","('52,46',)","('2',)","('wtórny',)","('blok',)","('3',)","('10',)","('cegła',)","('2001',)",spółdzielcze własnościowe
"('Oferta prywatna',)","('Kmpl urządzone mieszkanie w b.wysokim standardzie.',)","('Warszawa, Mokotów',)","('744000',)","('13964',)","('53,28',)","('2',)","('wtórny',)","('apartamentowiec',)","('2',)","('7',)","('cegła',)","('2018',)",pełna własność
"('Oferta prywatna',)","('Sprzedam nowe mieszkanie 44m2 Mokotów ul. Różana',)","('Warszawa, Mokotów, Górny Mokotów, ul. Różana',)","('725000',)","('16477',)","('44',)","('2',)","('pierwotny',)","('apartamentowiec',)","('4',)","('4',)","('Brak danych',)","('2018',)",spółdzielcze wł. z KW
"('Oferta biura nieruchomości',)","('★ 2 pokoje ★ Wola, Młynów ★ Bez prowizji',)","('Warszawa, Wola, Młynów, Żytnia 50',)","('335000',)","('9682',)","('34,60',)","('2',)","('wtórny',)","('kamienica',)","('parter',)","('4',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta biura nieruchomości',)","('Kawalerka inwestycyjna w Śródmieściu 0%Pcc',)","('Warszawa, Śródmieście, Zygmunta Słomińskiego',)","('453144',)","('12999',)","('34,86',)","('1',)","('pierwotny',)","('blok',)","('parter',)","('9',)","('Brak danych',)","('2021',)",pełna własność
"('Oferta prywatna',)","('Lokale inwestycyjne przy Polu Mokotowskim od 17m2',)","('Warszawa, Mokotów, Pola Mokotowskie, ul. Stefana Batorego',)","('230000',)","('13143',)","('17,50',)","('1',)","('wtórny',)","('blok',)","('1',)","('3',)","('żelbet',)","('Brak danych',)",pełna własność
"('Oferta biura nieruchomości',)","('Ładne i przestronne mieszkanie na sprzedaż 120 m2',)","('Warszawa, Włochy, Zapustna',)","('1100000',)","('11375',)","('96,70',)","('5',)","('wtórny',)","('Brak danych',)","('6',)","('6',)","('Brak danych',)","('Brak danych',)",pełna własność
"('Oferta biura nieruchomości',)","('Apartament z widokiem na tereny zielone',)","('Warszawa, Mokotów, Bernardyńska',)","('1979000',)","('16997',)","('116,43',)","('4',)","('wtórny',)","('apartamentowiec',)","('2',)","('4',)","('cegła',)","('2013',)",pełna własność
"('Oferta prywatna',)","('Trzy pokoje przy Parku Morskim OKU, ul. Ludowa',)","('Warszawa, Mokotów, Dolny Mokotów, ul. Ludowa',)","('870000',)","('14500',)","('60',)","('3',)","('wtórny',)","('kamienica',)","('2',)","('3',)","('cegła',)","('1950',)",spółdzielcze wł. z KW
"('Oferta biura nieruchomości',)","('2 pokoje Ursus ul. Posag 7 Panien',)","('Warszawa, Ursus',)","('335000',)","('8816',)","('38',)","('2',)","('pierwotny',)","('apartamentowiec',)","('7',)","('7',)","('Brak danych',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('3 pokoje, Praga-Południe ul Cichociemnych',)","('Warszawa, Praga-Południe',)","('622000',)","('8152',)","('76,30',)","('3',)","('wtórny',)","('blok',)","('2',)","('3',)","('Brak danych',)","('1998',)",spółdzielcze wł. z KW
"('Oferta biura nieruchomości',)","('3 pokoje, Bemowo ul Narwik',)","('Warszawa, Bemowo',)","('699000',)","('8224',)","('85',)","('3',)","('wtórny',)","('apartamentowiec',)","('4',)","('7',)","('Brak danych',)","('2008',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkania w najlepszej cenie w Warszawie',)","('Warszawa, Białołęka',)","('255000',)","('5930',)","('43',)","('2',)","('pierwotny',)","('blok',)","('2',)","('2',)","('cegła',)","('Brak danych',)",pełna własność
"('Oferta biura nieruchomości',)","('3 pokoje w willowej dzielnicy Ursusa,0% prowizji',)","('Warszawa, Ursus, ul. Piastowska',)","('466195',)","('8071',)","('57,76',)","('3',)","('pierwotny',)","('blok',)","('1',)","('2',)","('silikat',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Piękne 2 pokoje w apartamentowcu',)","('Warszawa, Śródmieście, Śródmieście Północne',)","('800000',)","('16667',)","('48',)","('2',)","('wtórny',)","('apartamentowiec',)","('7',)","('17',)","('Brak danych',)","('2010',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie, 44,10 m², Warszawa',)","('Warszawa, Białołęka',)","('338000',)","('7664',)","('44,10',)","('2',)","('wtórny',)","('blok',)","('1',)","('7',)","('Brak danych',)","('2003',)",pełna własność
"('Oferta biura nieruchomości',)","('Trzypokojowe Mieszkanie Na Nowodworach',)","('Warszawa, Białołęka',)","('500000',)","('6394',)","('78,20',)","('3',)","('wtórny',)","('blok',)","('3',)","('3',)","('Brak danych',)","('2007',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie, 49 m², Warszawa',)","('Warszawa, Bemowo',)","('407000',)","('8306',)","('49',)","('2',)","('wtórny',)","('blok',)","('parter',)","('4',)","('żelbet',)","('1999',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('2 pokoje w nowoczesnym budynku (IV. kw 2019)',)","('Warszawa, Włochy, Borsucza',)","('355845',)","('10500',)","('33,89',)","('2',)","('wtórny',)","('apartamentowiec',)","('2',)","('8',)","('Brak danych',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('3 przystanki od Metra Marymont,1km do SKM Żerań!',)","('Warszawa, Białołęka, Żerań',)","('299000',)","('7608',)","('39,30',)","('2',)","('pierwotny',)","('blok',)","('4',)","('5',)","('Brak danych',)","('2021',)",pełna własność
"('Oferta biura nieruchomości',)","('Kawalerka inwestycyjna w Śródmieściu 0%Pcc',)","('Warszawa, Śródmieście, Zygmunta Słomińskiego',)","('381585',)","('12137',)","('31,44',)","('1',)","('pierwotny',)","('blok',)","('parter',)","('9',)","('Brak danych',)","('2021',)",pełna własność
"('Oferta biura nieruchomości',)","('Apartamenty 23% Vat, bezpieczny zysk. Smart Home',)","('Warszawa, Praga-Południe',)","('337408',)","('7150',)","('47,19',)","('3',)","('pierwotny',)","('apartamentowiec',)","('2',)","('4',)","('Brak danych',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Przestronne mieszkanie w nowoczesnej inwestycji!',)","('Warszawa, Ursus, Traktorzystów',)","('467000',)","('8003',)","('58,35',)","('3',)","('pierwotny',)","('blok',)","('7',)","('7',)","('cegła',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Dwupokojowe mieszkanie w nowoczesnej inwestycji!',)","('Warszawa, Ursus',)","('348000',)","('8412',)","('41,37',)","('2',)","('pierwotny',)","('blok',)","('4',)","('7',)","('cegła',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie na nowoczesnym osiedlu w Ursusie!',)","('Warszawa, Ursus',)","('398000',)","('8088',)","('49,21',)","('2',)","('pierwotny',)","('blok',)","('7',)","('7',)","('cegła',)","('2020',)",Brak danych
"('Oferta biura nieruchomości',)","('Dwupoziomowe mieszkanie w cichej okolicy Warszawy',)","('Warszawa, Ursus, Piastowska',)","('545000',)","('7563',)","('72,06',)","('3',)","('pierwotny',)","('Brak danych',)","('1',)","('2',)","('cegła',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie na kameralnym osiedlu w Ursusie!',)","('Warszawa, Ursus, Piastowska',)","('527000',)","('7733',)","('68,15',)","('3',)","('pierwotny',)","('Brak danych',)","('1',)","('2',)","('cegła',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('słoneczny, bardzo wysoki apartament Mokotów',)","('Warszawa, Mokotów, Karola Chodkiewicza',)","('2275000',)","('16135',)","('141',)","('5',)","('wtórny',)","('Brak danych',)","('4',)","('7',)","('Brak danych',)","('2005',)",pełna własność
"('Oferta prywatna',)","('Śródmieście KAMIENICA 1928r. Wilcza 56 m2',)","('Warszawa, Śródmieście',)","('1020000',)","('18214',)","('56',)","('2',)","('wtórny',)","('kamienica',)","('2',)","('4',)","('cegła',)","('1928',)",pełna własność
"('Oferta biura nieruchomości',)","('3 pokoje w willowej dzielnicy Ursusa, 0% prowizji',)","('Warszawa, Ursus, ul. Piastowska',)","('505787',)","('7481',)","('67,61',)","('3',)","('pierwotny',)","('blok',)","('1',)","('2',)","('silikat',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Wyjątkowy apartament z widokiem na park i jezioro',)","('Warszawa, Praga-Południe, Saska Kępa, sonata',)","('640000',)","('11743',)","('54,50',)","('3',)","('wtórny',)","('apartamentowiec',)","('3',)","('7',)","('silikat',)","('2003',)",pełna własność
"('Oferta biura nieruchomości',)","('Wspaniały dwustronny apartament z 2 TARASAMI!',)","('Warszawa, Mokotów, ul. Pory',)","('1926607',)","('14950',)","('128,87',)","('4',)","('pierwotny',)","('apartamentowiec',)","('2',)","('2',)","('inne',)","('Brak danych',)",Brak danych
"('Oferta prywatna',)","('Na Sprzedaż bardzo atrakcyjne mieszkanie Metro Pow',)","('Warszawa, Bemowo, zaborowska 4',)","('536000',)","('5360',)","('100',)","('5',)","('wtórny',)","('blok',)","('4',)","('4',)","('cegła',)","('1992',)",pełna własność
"('Oferta biura nieruchomości',)","('4 pokoje w willowej dzielnicy Ursusa, 0% prowizji',)","('Warszawa, Ursus, ul. Piastowska',)","('599639',)","('7772',)","('77,15',)","('4',)","('pierwotny',)","('blok',)","('1',)","('2',)","('silikat',)","('2020',)",pełna własność
"('Oferta prywatna',)","('Metro Racławicka, 48 m warte Twojej uwagi Zobacz !',)","('Warszawa, Mokotów, ul. Racławicka',)","('581000',)","('12104',)","('48',)","('2',)","('wtórny',)","('kamienica',)","('1',)","('3',)","('cegła',)","('1957',)",pełna własność
"('Oferta biura nieruchomości',)","('Nowy projekt na Mokotowie, prestiżowa lokalizacja!',)","('Warszawa, Mokotów, ul. Pory',)","('1384005',)","('14700',)","('94,15',)","('3',)","('pierwotny',)","('apartamentowiec',)","('1',)","('2',)","('inne',)","('Brak danych',)",Brak danych
"('Oferta biura nieruchomości',)","('Warszawa Mokotów, Dolny Mokotów, ul. Bolesława L..',)","('Warszawa, Mokotów, Dolny Mokotów, Bolesława Limanowskiego',)","('599000',)","('10891',)","('55',)","('2',)","('wtórny',)","('blok',)","('5',)","('5',)","('cegła',)","('1997',)",pełna własność
"('Oferta prywatna',)","('Okazja, 3 pokoje, mokotów, 47mkw, metro wierzbno',)","('Warszawa, Mokotów, Górny Mokotów, ul. Fryderyka Joliot-Curie',)","('465000',)","('9894',)","('47',)","('3',)","('wtórny',)","('blok',)","('4',)","('10',)","('inne',)","('1967',)",pełna własność
"('Oferta biura nieruchomości',)","('Dwupokojowe na Woli przy planowanej linii metra',)","('Warszawa, Wola',)","('468000',)","('9750',)","('48',)","('2',)","('wtórny',)","('blok',)","('7',)","('10',)","('wielka płyta',)","('1972',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('OKAZJA -41m2-2pok. Wymarzone mieszkanie dla CiebiE',)","('Warszawa, Bielany, ul. Marymoncka',)","('354000',)","('8634',)","('41',)","('2',)","('wtórny',)","('blok',)","('8',)","('10',)","('wielka płyta',)","('1970',)",pełna własność
"('Oferta biura nieruchomości',)","('OKAZJA!ogród/zieleń/ochrona/garaż/Fort Cze/UNIKAT!',)","('Warszawa, Mokotów, Fort Piłsudskiego',)","('620000',)","('18788',)","('33',)","('2',)","('wtórny',)","('apartamentowiec',)","('parter',)","('1',)","('keramzyt',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('Luksusowy projekt w sercu Mokotowa!',)","('Warszawa, Mokotów, ul. Pory',)","('2297217',)","('14956',)","('153,60',)","('5',)","('pierwotny',)","('apartamentowiec',)","('2',)","('2',)","('inne',)","('Brak danych',)",Brak danych
"('Oferta biura nieruchomości',)","('Ciche w drugiej linii zabudowy, Galeria Mokotów',)","('Warszawa, Mokotów, Służewiec, Cybernetyki',)","('379000',)","('10185',)","('37,21',)","('2',)","('wtórny',)","('Brak danych',)","('5',)","('7',)","('Brak danych',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('Apartament z Tarasem',)","('Warszawa, Żoliborz, Sady Żoliborskie, Szamocka',)","('999000',)","('15474',)","('64,56',)","('3',)","('wtórny',)","('Brak danych',)","('1',)","('6',)","('Brak danych',)","('2017',)",pełna własność
"('Oferta biura nieruchomości',)","('Przy metrze, trzecia linia zabudowy, ciche',)","('Warszawa, Mokotów, Ksawerów, Domaniewska',)","('499000',)","('12071',)","('41,34',)","('2',)","('wtórny',)","('Brak danych',)","('parter',)","('7',)","('Brak danych',)","('2020',)",pełna własność
